research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
wash,acces_eau,,,,wash_1_source_boisson,categorical,
wash,acces_eau,,,,wash_2_source_autre_usage,categorical,
wash,acces_eau,,,,wash_4_temps,categorical,
wash,acces_eau,,,,wash_5_saison_seche,categorical,
wash,acces_eau,,,,wash_6_nb_bidons,numerical,
wash,acces_eau,,,,volume_total_recipients,numerical,
wash,acces_eau,,,,volume_total_recipients_pp,numerical,
wash,acces_eau,,,,wash_9_insuff_raisons_1,categorical,
wash,acces_eau,,,,wash_9_insuff_raisons_2,categorical,
wash,acces_eau,,,,wash_9_insuff_raisons_3,categorical,
wash,acces_eau,,,,wash_9_insuff_raisons_certains_groupes,categorical,
wash,assainissement,,,,wash_10_infra_sanit,categorical,
wash,assainissement,,,,wash_11_sanit_partagee,categorical,
wash,assainissement,,,,wash_12_sanit_partagee_par_genre,categorical,
wash,assainissement,,,,wash_13_sanit_partagee_espace_femmes,categorical,
wash,assainissement,,,,wash_14_suffisant,categorical,
wash,assainissement,,,,wash_15_insuff_raisons_1,categorical,
wash,assainissement,,,,wash_15_insuff_raisons_2,categorical,
wash,assainissement,,,,wash_15_insuff_raisons_3,categorical,
wash,assainissement,,,,wash_15_insuff_raisons_certains_groupes,categorical,
wash,hygiene,,,,wash_18_lavage_main_moment,categorical,
wash,hygiene,,,,wash_19_lavage_main_moyens,categorical,
wash,hygiene,,,,wash_20_dechets,categorical,
wash,hygiene,,,,wash_20_excrements,categorical,
wash,hygiene,,,,wash_20_eau_stagnante,categorical,
wash,hygiene,,,,wash_20_animaux_morts,categorical,
wash,hygiene,,,,wash_20_rongeurs,categorical,
wash,inquietude,,,,wash_21_wash_inquiet_1,categorical,
wash,inquietude,,,,wash_21_wash_inquiet_2,categorical,
wash,inquietude,,,,wash_21_wash_inquiet_3,categorical,
sante,membre_decede,,,,sante_5_deces,categorical,
sante,membre_decede,,,,sante_5_deces_relation,categorical,
sante,membre_decede,,,,sante_5_deces_age,numerical,
sante,membre_decede,,,,sante_5_deces_sexe,categorical,
sante,membre_decede,,,,sante_5_deces_cause,categorical,
protection,securite,,,,protect_2_femmes,categorical,
protection,securite,,,,protect_2_femmes_risque,categorical,
protection,securite,,,,protect_2_hommes,categorical,
protection,securite,,,,protect_2_hommes_risque,categorical,
protection,securite,,,,protect_3_filles,categorical,
protection,securite,,,,protect_3_filles_risque,categorical,
protection,securite,,,,protect_3_garcons,categorical,
protection,securite,,,,protect_3_garcons_risque,categorical,
protection,securite,,,,protect_4,categorical,
protection,securite,,,,protect_5_travail_force,categorical,
protection,traumatisme,,,,protect_11,categorical,
protection,traumatisme,,,,protect_11_1,numerical,
protection,traumatisme,,,,protect_11_2,numerical,
protection,mecanisme,,,,protect_13,categorical,
protection,mecanisme,,,,coping_1_aliments_moins_preferes,categorical,
sec_al,coping_strategie,,,,coping_1_1_aliments_moins_preferes_jours,numerical,
sec_al,coping_strategie,,,,coping_6_emprunt_nourriture_argent,categorical,
sec_al,coping_strategie,,,,coping_6_1_emprunter_nourriture_argent_jours,numerical,
sec_al,coping_strategie,,,,coping_3_diminution_quantite,categorical,
sec_al,coping_strategie,,,,coping_3_1_diminution_quantite_jours,numerical,
sec_al,coping_strategie,,,,coping_2_restriction_adultes,categorical,
sec_al,coping_strategie,,,,coping_2_1_restriction_nourriture_adultes_jours,numerical,
sec_al,coping_strategie,,,,coping_8_reduction_repas,categorical,
sec_al,coping_strategie,,,,coping_8_1_reduction_repas_jours,numerical,
sec_al,coping_strategie,,,,coping_4_reduction_eau_domestique,categorical,
sec_al,coping_strategie,,,,coping_4_1_reduction_eau_domestique_jours,numerical,
sec_al,coping_strategie,,,,coping_5_utilisation_eau_non_sure,categorical,
sec_al,coping_strategie,,,,coping_5_1_utilisation_eau_non_sure_jours,numerical,
sec_al,LCS,,,,secal_11_lcs_actifs_non_prod,categorical,
sec_al,LCS,,,,secal_11_lcs_actifs_prod,categorical,
sec_al,LCS,,,,secal_11_lcs_reduire_dep,categorical,
sec_al,LCS,,,,secal_11_lcs_dep_epargne,categorical,
sec_al,LCS,,,,secal_11_lcs_emprunter,categorical,
sec_al,LCS,,,,secal_11_lcs_retirer_ecole,categorical,
sec_al,LCS,,,,secal_11_lcs_vendre_maison,categorical,
sec_al,LCS,,,,secal_11_lcs_activites_risquees,categorical,
sec_al,LCS,,,,secal_11_lcs_mendier,categorical,
sec_al,LCS,,,,secal_11_lcs_vendre_animaux,categorical,
sec_al,LCS,,,,secal_11_lcs_consommer_semences,categorical,
AAP,AAP,,,,aap_1_source_confiance,categorical,
AAP,AAP,,,,aap_2_type_information,categorical,
AAP,AAP,,,,aap_3_canal_information,categorical,
AAP,AAP,,,,aap_4_retour_fournisseurs_aide,categorical,
prio,prio,,,,rep_souhaitee_1,categorical,
prio,prio,,,,rep_souhaitee_2,categorical,
prio,prio,,,,rep_souhaitee_3,categorical,
prio,prio,,,,educ_6_reponse_1,categorical,
prio,prio,,,,educ_6_reponse_2,categorical,
prio,prio,,,,educ_6_reponse_3,categorical,
prio,prio,,,,nfi_7_assistance_1,categorical,
prio,prio,,,,nfi_7_assistance_2,categorical,
prio,prio,,,,nfi_7_assistance_3,categorical,
prio,prio,,,,secal_13_reponse_1,categorical,
prio,prio,,,,secal_13_reponse_2,categorical,
prio,prio,,,,secal_13_reponse_3,categorical,
prio,prio,,,,wash_22_wash_reponse_1,categorical,
prio,prio,,,,wash_22_wash_reponse_2,categorical,
prio,prio,,,,wash_22_wash_reponse_3,categorical,
prio,prio,,,,sante_7_reponse_1,categorical,
prio,prio,,,,sante_7_reponse_2,categorical,
prio,prio,,,,sante_7_reponse_3,categorical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.aucune,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.fe,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.fa,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.handi_phy,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.handi_ment,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.handi,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.es,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.ena,numerical,
info_gen,comp_hh,,,,sum_ig_7_gr_vulnerable.nsp,numerical,
sante,acces_mat,,,,sum_sante_1_accouch_cs,numerical,
sante,acces_mat,,,,sum_sante_1_accouch_maison,numerical,
sante,acces_mat,,,,sum_sante_1_accouch_autre,numerical,
sante,acces_mat,,,,sum_sante_1_accouch_nsp,numerical,
sante,acces_mat,,,,sante_1_accouch_maison_raison,categorical,
sante,acces_mat,,,,sante_1_accouch_maison_raison_autre,categorical,
sante,membres_malades,,,,sum_sante_2_malade_oui,numerical,
sante,membres_malades,,,,sum_sante_2_malade_non,numerical,
sante,membres_malades,,,,sum_sante_2_malade_nsp,numerical,
sante,membres_malades,,,,sum_sante_2_soin_recu_oui_autre,numerical,
sante,membres_malades,,,,sum_sante_2_soin_recu_oui_cs,numerical,
sante,membres_malades,,,,sum_sante_2_soin_recu_oui_maison,numerical,
sante,membres_malades,,,,sum_sante_2_soin_recu_non,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_non_autre,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_infra_detruite_ca,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_infra_detruite_nat,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_infra_inexis,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_infra_trop_loin,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_insecurite,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_medic_indisp,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_nsp,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_qualite_trop_faible,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_staff_indisp,numerical,
sante,membres_malades,,,,sum_sante_3_soin_non_recu_trop_cher,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_autre_filles,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_autre_garcons,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_diarrhee_filles,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_diarrhee_garcons,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_toux_filles,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_toux_garcons,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_fievre_filles,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_fievre_garcons,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_oui_nsp_filles,numerical,
sante,membres_malades,,,,sum_sante_4_0_4_malades_oui_nsp_garcons,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.palu_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.palu_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.palu_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.palu_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.infec_resp_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.infec_resp_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.infec_resp_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.infec_resp_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.diarrhee_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.diarrhee_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.diarrhee_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.diarrhee_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.rougeole_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.rougeole_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.rougeole_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.rougeole_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.hepat_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.hepat_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.hepat_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.hepat_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.cholera_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.cholera_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.cholera_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.cholera_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.vih_sida_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.vih_sida_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.vih_sida_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.vih_sida_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.mening_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.mening_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.mening_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.mening_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.autre_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.autre_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.autre_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.autre_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.nsp_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.nsp_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.nsp_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.nsp_garcons_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.fievre_femmes_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.fievre_femmes_18plus,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.fievre_garcons_5_17,numerical,
sante,membres_malades,,,,sum_sante_5_5plus_malades.fievre_garcons_18plus,numerical,
nutrition,MAS,,,,sum_nut_2_muac.masfille_0_5,numerical,
nutrition,MAS,,,,sum_nut_2_muac.masgarcon_0_5,numerical,
nutrition,MAM,,,,sum_nut_2_muac.mamfille_0_5,numerical,
nutrition,MAM,,,,sum_nut_2_muac.mamgarcon_0_5,numerical,
education,inscription,,,,sum_educ_2_inscrit_18_19.filles_7_12,numerical,
education,inscription,,,,sum_educ_2_inscrit_18_19.filles_13_18,numerical,
education,inscription,,,,sum_educ_2_inscrit_18_19.garcons_7_12,numerical,
education,inscription,,,,sum_educ_2_inscrit_18_19.garcons_13_18,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_7_12.12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_7_12.6m_12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_7_12.3m_6m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_7_12.0m_3m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_7_12.0m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_13_18.12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_13_18.6m_12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_13_18.3m_6m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_13_18.0m_3m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.filles_13_18.0m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_7_12.12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_7_12.6m_12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_7_12.3m_6m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_7_12.0m_3m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_7_12.0m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_13_18.12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_13_18.6m_12m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_13_18.3m_6m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_13_18.0m_3m,numerical,
education,presence,,,,sum_educ_3_presence_18_19.garcons_13_18.0m,numerical,
sante,acces_mat,,,,sum_sante_1_accouch_lieu,categorical,
nfi,item_list,,,,bidons_oui_non,numerical,
abris,abris,,,,taille_abri_pp,numerical,
info_gen,demo,,,,sum_agegrp_0_17,numerical,
info_gen,demo,,,,sum_agegrp_18plus,numerical,
protection,enfants,,,,protect_9_aumoinsunvul,categorical,
nfi,score_nfi,,,,moust_pp,numerical,
nfi,score_nfi,,,,sup_couchage_pp,numerical,
nfi,score_nfi,,,,draps_pp,numerical,
nfi,score_nfi,,,,score_bidons,numerical,
nfi,score_nfi,,,,score_seau,numerical,
nfi,score_nfi,,,,score_moust,numerical,
nfi,score_nfi,,,,score_casserole,numerical,
nfi,score_nfi,,,,score_couchage,numerical,
nfi,score_nfi,,,,score_draps,numerical,
nfi,score_nfi,,,,score_nfi_tot,numerical,
nfi,sphere,,,,sphere_nfi,categorical,
nfi,item_list,,,,nb_bache,numerical,
nfi,item_list,,,,nb_kitcuisine,numerical,
nfi,item_list,,,,nb_habits,numerical,
nfi,item_list,,,,nb_doc_legal,numerical,
nfi,item_list,,,,nb_doc_prop,numerical,
nfi,item_list,,,,nb_semance,numerical,
nfi,item_list,,,,nb_outils_aratoires,numerical,
nfi,item_list,,,,nb_cendres,numerical,
nfi,item_list,,,,savon_toilette_azur_aumoinsun,numerical,
nfi,item_list,,,,savon_lessive_aumoinsun,numerical,
nfi,item_list,,,,pot_aumoinsun,numerical,
nfi,item_list,,,,gobelet_aumoinsun,numerical,
nfi,item_list,,,,serviette_hyg_aumoinsun,numerical,
nfi,item_list,,,,bidons_cap_aumoinsun,numerical,
nfi,item_list,,,,nb_seaux_aumoinsun,numerical,
nfi,item_list,,,,nb_mousticaire_aumoinsun,numerical,
nfi,item_list,,,,nb_casseroles_aumoinsun,numerical,
nfi,item_list,,,,nb_couchage_aumoinsun,numerical,
nfi,item_list,,,,nb_draps_aumoinsun,numerical,
nfi,item_list,,,,sum_other_items,numerical,
item_list,item_list,,,,sum_item_list,numerical,
wash,hygiene,,,,lavage_mains_momentscles_savon,categorical,
sec_al,coping_strategie,,,,rcsi,numerical,
modif,modif,,,,nfi_7_assistance_3,categorical,
modif,modif,,,,sante_1_accouch_maison_raison,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.6m_12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.3m_6m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.0m_3m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.0m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.6m_12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.3m_6m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.0m_3m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.0m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_7_12.12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_7_12.6m_12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_7_12.3m_6m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_7_12.0m_3m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_7_12.0m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_13_18.12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_13_18.6m_12m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_13_18.3m_6m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_13_18.0m_3m,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_13_18.0m,categorical,
modif,modif,,,,aggregation_result_educ_4_handi_acces.descol_autre,categorical,
modif,modif,,,,aggregation_result_educ_4_handi_acces.descol_acces,categorical,
modif,modif,,,,aggregation_result_educ_4_handi_acces.descol_enseignement,categorical,
modif,modif,,,,aggregation_result_educ_4_handi_acces.scol_non_opti,categorical,
modif,modif,,,,aggregation_result_educ_4_handi_acces.scol_ok,categorical,
modif,modif,,,,aggregation_result_educ_4_handi_acces.autre,categorical,
modif,modif,,,,sum_sante_1_accouch_lieu,categorical,
modif,modif,,,,bidons_oui_non,categorical,
modif,modif,,,,sum_agegrp_0_17,categorical,
modif,modif,,,,sum_agegrp_18plus,categorical,
modif,modif,,,,savon_toilette_azur_aumoinsun,categorical,
modif,modif,,,,savon_lessive_aumoinsun,categorical,
modif,modif,,,,pot_aumoinsun,categorical,
modif,modif,,,,gobelet_aumoinsun,categorical,
modif,modif,,,,serviette_hyg_aumoinsun,categorical,
modif,modif,,,,bidons_cap_aumoinsun,categorical,
modif,modif,,,,nb_seaux_aumoinsun,categorical,
modif,modif,,,,nb_mousticaire_aumoinsun,categorical,
modif,modif,,,,nb_casseroles_aumoinsun,categorical,
modif,modif,,,,nb_couchage_aumoinsun,categorical,
modif,modif,,,,nb_draps_aumoinsun,categorical,
modif,modif,,,,sum_other_items,categorical,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.12m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.6m_12m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.3m_6m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.0m_3m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_7_12.0m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.12m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.6m_12m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.3m_6m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.0m_3m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.filles_13_18.0m,integer,
modif,modif,,,,sum_educ_3_presence_18_19.garcons_7_12.12m,integer,
