index,value,variable,has_issue,issue_type,Réponse correcte
2857,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3096,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3165,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3293,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3322,21,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3363,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3381,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3383,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3391,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3399,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3411,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3435,25,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3451,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3556,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3585,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3815,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
3938,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4030,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4169,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4192,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4506,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4610,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4967,19,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4975,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4986,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
4996,22,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
5272,30,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
5386,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
5494,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
5783,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
5986,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6164,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6343,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6394,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6616,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6623,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6643,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6669,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
6871,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
7086,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
7676,23,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
7678,19,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
7681,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
7775,-5,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8207,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8395,22,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8450,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8773,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8791,24,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8792,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8793,32,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8828,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8848,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8883,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8898,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8905,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8906,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8911,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
9086,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
9199,25,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
8070,21,ig_10_hote_FA_0_4,TRUE,log normal distribution outlier,
1095,17,ig_10_hote_FA_5_17,TRUE,log normal distribution outlier,
2685,13,ig_10_hote_FA_5_17,TRUE,log normal distribution outlier,
6616,13,ig_10_hote_FA_5_17,TRUE,log normal distribution outlier,
6690,17,ig_10_hote_FA_5_17,TRUE,log normal distribution outlier,
6696,17,ig_10_hote_FA_5_17,TRUE,log normal distribution outlier,
156,19,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
1204,36,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
1292,20,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
1825,72,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
2088,20,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
3087,19,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
3146,25,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
3177,21,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
3384,20,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
4043,32,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
4044,21,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
4935,25,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
4984,26,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
4991,18,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
6692,18,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
7893,19,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
8459,60,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
8469,60,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
8523,20,ig_10_hote_FA_18plus,TRUE,normal distribution outlier,
993,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
1768,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
1856,10,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
3306,10,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
3322,11,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
3513,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
3945,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
4864,9,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
5087,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
5272,10,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
5821,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
5921,9,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
6727,10,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
7676,9,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
7896,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
8052,10,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
8585,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
9179,8,sum_educ_2_inscrit_18_19_non,TRUE,log normal distribution outlier,
221,18,sum_agegrp_4_18,TRUE,log normal distribution outlier,
861,19,sum_agegrp_4_18,TRUE,log normal distribution outlier,
7676,16,sum_agegrp_4_18,TRUE,log normal distribution outlier,
221,10,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
473,11,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
861,13,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
3322,10,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
4996,11,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
6623,10,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
8793,10,sum_agegrp_0_17_femmes,TRUE,log normal distribution outlier,
4996,10,sum_agegrp_0_17_hommes,TRUE,log normal distribution outlier,
6153,11,sum_agegrp_0_17_hommes,TRUE,log normal distribution outlier,
6616,13,sum_agegrp_0_17_hommes,TRUE,log normal distribution outlier,
8395,10,sum_agegrp_0_17_hommes,TRUE,log normal distribution outlier,
8791,11,sum_agegrp_0_17_hommes,TRUE,log normal distribution outlier,
8911,10,sum_agegrp_0_17_hommes,TRUE,log normal distribution outlier,
99,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
100,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
101,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
105,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
125,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
136,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
139,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
172,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
176,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
204,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
220,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
327,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
329,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
330,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
380,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
503,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
553,8,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
554,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
559,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
576,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
582,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
713,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
720,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
748,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
772,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
773,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
775,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
779,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
819,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
825,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
852,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
861,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
874,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1046,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1133,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1216,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1258,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1306,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1369,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1504,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1609,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1783,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1812,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1961,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
1995,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2003,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2064,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2239,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2242,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2245,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2247,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2337,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2419,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2500,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2604,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2612,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2665,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2666,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2680,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2771,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
2801,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3041,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3072,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3139,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3165,9,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3223,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3230,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3292,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3293,9,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3381,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3383,8,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3387,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3391,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3411,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3429,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3435,8,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3453,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3475,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3531,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3567,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3585,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3800,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
3817,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4030,8,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4044,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4165,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4501,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4506,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4523,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4532,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4536,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4574,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4579,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4586,10,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4678,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4901,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4913,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4915,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4924,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4939,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4967,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4983,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4986,20,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
4991,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5176,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5249,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5271,9,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5272,17,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5277,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5287,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5290,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5380,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5412,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5494,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5513,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5514,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5627,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
5712,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6021,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6213,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6245,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6272,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6341,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6343,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6394,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6580,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6602,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6648,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6701,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6709,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6871,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6877,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6912,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6915,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
6926,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7066,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7086,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7207,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7629,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7673,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7676,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7678,10,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7680,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7681,10,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7789,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7822,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7881,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7886,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
7912,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8078,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8248,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8416,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8450,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8514,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8587,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8683,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8773,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8792,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8793,8,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8891,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8898,7,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8911,6,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8921,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
8961,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
9086,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
9179,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
9199,5,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
9211,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
9212,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
9250,4,sum_agegrp_18plus_hommes,TRUE,normal distribution outlier,
115,400,savon_toilette_azur,TRUE,normal distribution outlier,
1235,400,savon_toilette_azur,TRUE,normal distribution outlier,
1781,1000,savon_toilette_azur,TRUE,normal distribution outlier,
1785,800,savon_toilette_azur,TRUE,normal distribution outlier,
1872,2000,savon_toilette_azur,TRUE,normal distribution outlier,
1941,4000,savon_toilette_azur,TRUE,normal distribution outlier,
2238,1500,savon_toilette_azur,TRUE,normal distribution outlier,
3629,500,savon_toilette_azur,TRUE,normal distribution outlier,
3634,1800,savon_toilette_azur,TRUE,normal distribution outlier,
4355,500,savon_toilette_azur,TRUE,normal distribution outlier,
4425,2400,savon_toilette_azur,TRUE,normal distribution outlier,
4494,300,savon_toilette_azur,TRUE,normal distribution outlier,
4507,1000,savon_toilette_azur,TRUE,normal distribution outlier,
5407,3000,savon_toilette_azur,TRUE,normal distribution outlier,
7574,1000,savon_toilette_azur,TRUE,normal distribution outlier,
8905,300,savon_toilette_azur,TRUE,normal distribution outlier,
1228,1500,savon_lessive,TRUE,normal distribution outlier,
1235,3000,savon_lessive,TRUE,normal distribution outlier,
1236,1400,savon_lessive,TRUE,normal distribution outlier,
1239,9000,savon_lessive,TRUE,normal distribution outlier,
1240,7500,savon_lessive,TRUE,normal distribution outlier,
1241,9000,savon_lessive,TRUE,normal distribution outlier,
1242,9000,savon_lessive,TRUE,normal distribution outlier,
1244,2500,savon_lessive,TRUE,normal distribution outlier,
1246,15000,savon_lessive,TRUE,normal distribution outlier,
1249,3000,savon_lessive,TRUE,normal distribution outlier,
1767,2000,savon_lessive,TRUE,normal distribution outlier,
1768,2400,savon_lessive,TRUE,normal distribution outlier,
1769,4000,savon_lessive,TRUE,normal distribution outlier,
1773,4300,savon_lessive,TRUE,normal distribution outlier,
1776,2800,savon_lessive,TRUE,normal distribution outlier,
1777,2000,savon_lessive,TRUE,normal distribution outlier,
1778,4000,savon_lessive,TRUE,normal distribution outlier,
1780,2000,savon_lessive,TRUE,normal distribution outlier,
1782,2000,savon_lessive,TRUE,normal distribution outlier,
1785,2200,savon_lessive,TRUE,normal distribution outlier,
1829,2500,savon_lessive,TRUE,normal distribution outlier,
1910,2500,savon_lessive,TRUE,normal distribution outlier,
1936,2000,savon_lessive,TRUE,normal distribution outlier,
1945,2000,savon_lessive,TRUE,normal distribution outlier,
2054,9000,savon_lessive,TRUE,normal distribution outlier,
3134,1600,savon_lessive,TRUE,normal distribution outlier,
3143,1500,savon_lessive,TRUE,normal distribution outlier,
3144,3000,savon_lessive,TRUE,normal distribution outlier,
3145,3000,savon_lessive,TRUE,normal distribution outlier,
3146,2000,savon_lessive,TRUE,normal distribution outlier,
3173,1600,savon_lessive,TRUE,normal distribution outlier,
3435,10000,savon_lessive,TRUE,normal distribution outlier,
3437,2500,savon_lessive,TRUE,normal distribution outlier,
3439,1500,savon_lessive,TRUE,normal distribution outlier,
3441,2000,savon_lessive,TRUE,normal distribution outlier,
3443,2000,savon_lessive,TRUE,normal distribution outlier,
3449,2000,savon_lessive,TRUE,normal distribution outlier,
3610,4000,savon_lessive,TRUE,normal distribution outlier,
3611,2000,savon_lessive,TRUE,normal distribution outlier,
3613,3000,savon_lessive,TRUE,normal distribution outlier,
3616,2000,savon_lessive,TRUE,normal distribution outlier,
3618,2400,savon_lessive,TRUE,normal distribution outlier,
3623,1400,savon_lessive,TRUE,normal distribution outlier,
3624,1600,savon_lessive,TRUE,normal distribution outlier,
3630,2000,savon_lessive,TRUE,normal distribution outlier,
3634,3200,savon_lessive,TRUE,normal distribution outlier,
3635,2000,savon_lessive,TRUE,normal distribution outlier,
3639,2000,savon_lessive,TRUE,normal distribution outlier,
3642,2000,savon_lessive,TRUE,normal distribution outlier,
3652,3000,savon_lessive,TRUE,normal distribution outlier,
3653,3000,savon_lessive,TRUE,normal distribution outlier,
4118,1600,savon_lessive,TRUE,normal distribution outlier,
4495,6000,savon_lessive,TRUE,normal distribution outlier,
4496,3000,savon_lessive,TRUE,normal distribution outlier,
4497,1500,savon_lessive,TRUE,normal distribution outlier,
