aap_1_1_source_confiance_autre,aap_1_1_source_confiance_autre_recoded,aap_3_canal_information_autre,aap_3_canal_information_autre_recoded,sante_5_deces_cause_autre,sante_5_deces_cause_autre_recoded,nfi_propr_abri_autre,nfi_propr_abri_autre_recoded
,,Les autorités locale,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Radio FM,radio,,,,
,,Radio FM,radio,,,,
,,Radio FM,radio,,,,
,,Radio FM,radio,,,,
,,Radio FM,radio,,,,
,,Radio FM,radio,,,,
,,Radio Fm,radio,,,,
,,Radio FM,radio,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Rassemblement,face_a_face,,,,
,,"Convocation, réunio",face_a_face,,,,
,,Dans une réunion chez le che,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunion ordinair,face_a_face,,,,
,,Radio FM,radio,,,,
,,Radio FM,radio,,,,
,,Avec le leader religieux,face_a_face,,,,
,,A travers son porte parole,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Siffle,autre,,,,
,,A la radio,radio,,,,
,,Réunion chef le chef ou à la mair,face_a_face,,,,
,,Réunion,face_a_face,,,,
,,Par la radio,radio,,,,
,,Radio,radio,,,,
,,Par le porte parole du chef du quartier,face_a_face,,,,
,,Par le chef du quartier ,face_a_face,,,,
,,Par le porte parole du chef du quartier,face_a_face,,,,
,,Lors d'une réunion communautair,face_a_face,,,,
,,Radio,radio,,,,
,,Par des réunions et sensiblisatio,face_a_face,,,,
,,Rien que la radio,radio,,,,
,,La radio,radio,,,,
,,La radio,radio,,,,
,,La radio,radio,,,,
,,La radio,radio,,,,
,,Par la radio et les ONG,radio,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Les autorité,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Par la présence dans la régi,face_a_face,,,,
,,Pendant la réunion communautair,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Parmi les sages ou les passants,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,Radio et les passants,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio. Locales. La voix    de kemo,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Le chef du village,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Les autorité,face_a_face,,,,
,,Radio,radio,,,,
,, Bouche a l'oreil,face_a_face,,,,
,,"Radio, telephone",autre,,,,
,,Radio f m,radio,,,,
,,Par lettre,autre,,,,
,,Radio f m,face_a_face,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Le chef du village,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Colaborateur,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Au près des autorit�,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Le chef du village,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Par un parent ou amis de passage,face_a_face,,,,
,,Radio,radio,,,,
,,Radio icdi,radio,,,,
,,Radio icdi,radio,,,,
,,Les passants,face_a_face,,,,
,,Radio icdi ou chez le chef,radio,,,,
,,Radio et chez le chef,radio,,,,
,,Les passants,face_a_face,,,,
,,A travers les ONG et les autorités locale,face_a_face,,,,
,,Les autorité locale,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Taxi moto,face_a_face,,,,
,,Radio,radio,,,,
,,Leader. Comunautaire,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Leader communotaire,face_a_face,,,,
,,Radio,radio,,,,
,,Radio Ndekeluca,radio,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Lettre,autre,,,,
,,Radio,radio,,,,
,,Le chef de quartier ,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par le chef,face_a_face,,,,
,,N'importe moyens,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Chef de la communaut�,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Ami et radio,autre,,,,
,,Radio,radio,,,,
,,Aucun,autre,,,,
,,Chef de bloc,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Mercie,autre,,,,
,,Famille et les amis,face_a_face,,,,
,,Mercie,autre,,,,
,,Mercie,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio et le chef du quartier,autre,,,,
,,Radio et le chef du quartier,autre,,,,
,,Radio et le chef du quartier,autre,,,,
,,Radio et le chef du quartier,autre,,,,
,,Par la radio et personnels des ONG.,autre,,,,
,,Par le chef de localit�,face_a_face,,,,
,,Par le chef de localit�,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Réunio,radio,,,,
,,Crieur,face_a_face,,,,
,,Les populations,face_a_face,,,,
,,RAS,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Au près des autorités local,face_a_face,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Réunion avec les notable,face_a_face,,,,
,,Radio,radio,,,,
,,Au niveau de chef de quartier,face_a_face,,,,
,,Réunion avec le chef du villag,face_a_face,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Au niveau des autorités locale,face_a_face,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par le chef de la locate,face_a_face,,,,
,,Radio,radio,,,,
,,Informations,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A travers les autorités locale,face_a_face,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Autorité locale,face_a_face,,,,
,,La radio ,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio ,radio,,,,
,,Megaphone,hauts_parleurs,,,,
,,Par radio communautaire,radio,,,,
,,Par radio communautaire,radio,,,,
,,Par radio communautaire,radio,,,,
,,Par radio guyra f m,radio,,,,
,,Par radio communautaire,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Média,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Média,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Média,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par les personnes,face_a_face,,,,
,,Par les parents,face_a_face,,,,
,,Par les personnes d'autres personnes sur place,face_a_face,,,,
,,Par les messages de chef,face_a_face,,,,
,,Face en face,face_a_face,,,,
,,Par le projet ecofone+,face_a_face,,,,
,,Par les voyageurs,face_a_face,,,,
,,Par télépho,autre,,,,
,,Par télépho,autre,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes d'autres voyageurs,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes d'autres,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par les personnes voyage,face_a_face,,,,
,,Par la radio communautaire,radio,,,,
,,Par la radio communautaire,radio,,,,
,,Par la radio communautaire,radio,,,,
,,Par la radio communautaire,radio,,,,
,,Par la radio communautaire,radio,,,,
,,Par la radio communautaire,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par Radio et avec le chef,autre,,,,
,,A la radio,radio,,,,
,,La RADIO,radio,,,,
,,La Radio,radio,,,,
,,La Radio,radio,,,,
,,La Radio,radio,,,,
,,La Radio,radio,,,,
,,La Radio,radio,,,,
,,Siffle,autre,,,,
,,Sifflet,autre,,,,
,,Siffl�,autre,,,,
,,Capita,autre,,,,
,,Capita,autre,,,,
,,Capita,autre,,,,
,,"On reçoit des informations par le biais de la radio:Ndeke Luka,radio Centrafrique,Notre Dame",radio,,,,
,,Information radio phonique..,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Posté.radi,radio,,,,
,,Par.un.poste.radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Les radios,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio diffusion,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio ,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,De bouche a oreille,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,"La radio, télépho",radio,,,,
,,La radio,radio,,,,
,,La radio,radio,,,,
,,La radio télépho,autre,,,,
,,La radio et télépho,autre,,,,
,,Radio FM ,radio,,,,
,,Radio FM ,radio,,,,
,,Radio FM ou la radio Rfi,radio,,,,
,,Radio FM ,radio,,,,
,,Radio Rfi ou FM ,radio,,,,
,,Dans une réunion,face_a_face,,,,
,,Dans une réunion,face_a_face,,,,
,,Durant la réunion,face_a_face,,,,
,,En réunion,face_a_face,,,,
,,Radio FM ,radio,,,,
,,Par les autorités locale,face_a_face,,,,
,,Nous demandons la radio,radio,,,,
,,Avoir une poste radio ,radio,,,,
,,Radio,radio,,,,
,,Par radio communautaire ,radio,,,,
,,Par la radio communautaire ,radio,,,,
,,Radio communautaire ,radio,,,,
,,Par radio communautaire ,radio,,,,
,,Par le chef de quartier ,face_a_face,,,,
,,Chef de communaute,face_a_face,,,,
,,Par des chefs des villages,face_a_face,,,,
,,Par des chefs de la localiter,face_a_face,,,,
,,Radio communautaire,radio,,,,
,,Ala radio,radio,,,,
,,Radio hf,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A'la Radio,radio,,,,
,,Au cours d'une réunion,face_a_face,,,,
,,Suuvre en direct,autre,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Autorité local,face_a_face,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Des communauté,face_a_face,,,,
,,Auprès des voyageur,face_a_face,,,,
,,Leader communautaire,face_a_face,,,,
,,Leader communautaire,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Auprès de che,face_a_face,,,,
,,Par les chefs de village,face_a_face,,,,
,,Auprès des autorités local,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Autre personne tels que les taxi moto,face_a_face,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Chef de village,face_a_face,,,,
,,Leader communautaire,face_a_face,,,,
,,Autorité local,face_a_face,,,,
,,Au chef,face_a_face,,,,
,,A travers le chef,face_a_face,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Taxi moto,face_a_face,,,,
,,Auprès des leaders communautaires et des humanitair,face_a_face,,,,
,,Leader communautaire,face_a_face,,,,
,,Auprès des leader,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Auprès des autorités local,face_a_face,,,,
,,Chef de quartier,chef_communaut�,,,,
,,Pas de résea,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Auprès des autorités local,face_a_face,,,,
,,Radio,radio,,,,
,,Autorité administrativ,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,La radio,radio,,,,
,,Radio,radio,,,,
,,Part des autorité,face_a_face,,,,
,,La radio,radio,,,,
,,Radio,radio,,,,
,,De la part des autorités,face_a_face,,,,
,,Avec le sifflet,autre,,,,
,,A l' eglise,autre,,,,
,,Poste radio,radio,,,,
,,Problème de radi,radio,,,,
,,Chez  le chef,face_a_face,,,,
,,Le coup de sifflet pour allerter la population le grand matin,autre,,,,
,,Par le chef,face_a_face,,,,
,,Pas de moyen de communication dans la zone due au manque du chef du village.,autre,,,,
,,Les chefs du village dans la zone,face_a_face,,,,
,,"Par la radio, mais pour le moment je n'ai pas le moyen pour acheter un",radio,,,,
,,La voix des ondes,radio,,,,
,,La radio,radio,,,,
,,Reunion,face_a_face,,,,
,,Radio,radio,,,,
,,� la place du village,autre,,,,
,,Par la radio,radio,,,,
,,Par le canal des autorité,face_a_face,,,,
,,Radio,radio,,,,
,,La radio,radio,,,,
,,Radio,radio,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Réunio,face_a_face,,,,
,,Chef du village,face_a_face,,,,
,,"Autorité locales, radi",face_a_face,,,,
,,Autorité locale,face_a_face,,,,
,,Autorité locale,face_a_face,,,,
,,"Radio, autorités locale",autre,,,,
,,Autorité locale,face_a_face,,,,
,,Radio,radio,,,,
,,Autorité locale,face_a_face,,,,
,,Autorité locale,face_a_face,,,,
,,Son du sifflet dans le quartier avertir la population,autre,,,,
,,Crié avec du sifflet le grand mati,autre,,,,
,,La population est allertee  par les sons du sifflet,autre,,,,
,,� travers la r�union chez le chef,face_a_face,,,,
,,L' adjoint du chef cri dans le quartier avec un sifflet pour alléger la populatio,autre,,,,
,,Chez le chef,face_a_face,,,,
,,Lors des réunion,face_a_face,,,,
,,Par le chef,face_a_face,,,,
,,Sur une poste radio.,radio,,,,
,,Radio,radio,,,,
,,Par le chef du village,face_a_face,,,,
,,Problèmes de sant�,autre,,,,
,,Problèmes de l'informatio,autre,,,,
,,Manque de l'information,autre,,,,
,,Problème de comminicatio,autre,,,,
,,"Amis, parents, autorité local",face_a_face,,,,
,,"Radio Guirra FM , Radio locale de Berberati,Ndeke Luka",radio,,,,
,,"Amis, autorité locale",face_a_face,,,,
,,"Autorités locales",face_a_face,,,,
,,"Autorité locale, parents, ami",face_a_face,,,,
,,"Parents, amis",face_a_face,,,,
,,"Autorité locales, radio : Locale, Guirra F",autre,,,,
,,"Personnel humanitaire, parents, amis, autorités locale",face_a_face,,,,
,,Radio,radio,,,,
,,"Amis, parents,chef du village",face_a_face,,,,
,,"Autorités locales, personnel s humanitair",face_a_face,,,,
,,Le responsable de la jeunesse va de porte en porte allertee la population,face_a_face,,,,
,,Crier avec un sifflet,autre,,,,
,,Signaler la population avec les coups de sifflet,face_a_face,,,,
,,Par le canal du chef,face_a_face,,,,
,,Par le pasteur de mon églis,face_a_face,,,,
,,Grâce au chef que nous sommes renseign�,face_a_face,,,,
,,Grâce au sifflet du chef du villag,autre,,,,
,,La radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Chez le chef,face_a_face,,,,
,,Radio,radio,,,,
,,Radio ou mégaphon,radio,,,,
,,Sur une poste radio,radio,,,,
,,Surtout dans une poste radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par le chef du village,face_a_face,,,,
,,Problème de rése,autre,,,,
,,Problème de téléph,autre,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Chef du quartier,face_a_face,,,,
,,Radio,radio,,,,
,,Autorités locale,face_a_face,,,,
,,Radio,radio,,,,
,,"Parents, amis, autorités locales, téléph",face_a_face,,,,
,,Télépho,autre,,,,
,,Télépho,autre,,,,
,,Par la sensibilisation,face_a_face,,,,
,,Par la sensibilisation,face_a_face,,,,
,,Télépho,autre,,,,
,,Par les mégaphon,hauts_parleurs,,,,
,,Par les envoyer du chef,face_a_face,,,,
,,Par mégaphon,hauts_parleurs,,,,
,,Par sensibilisation et mégaphon,autre,,,,
,,Par le chef,face_a_face,,,,
,,Mégaphon,hauts_parleurs,,,,
,,Le chef de la communaut�,face_a_face,,,,
,,Par le chef,face_a_face,,,,
,,Par les envoyer du chef,face_a_face,,,,
,,� la place du village,autre,,,,
,,Par les envoyer du chef,face_a_face,,,,
,,Sur une poste radio.,radio,,,,
,,Le chef du village qui nous informe,face_a_face,,,,
,,De la par du chef de village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Télépho,autre,,,,
,,Télépho,autre,,,,
,,Radio,radio,,,,
,,La radio,radio,,,,
,,Nous voulons écouté les informations par la radi,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio communautaire,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio,radio,,,,
,,Réseau téléphoni,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio diffusion,radio,,,,
,,Radio diffusion,radio,,,,
,,Radio,radio,,,,
,,Radio diffusion,radio,,,,
,,Par la sensibilisation,face_a_face,,,,
,,Les rumeurs,autre,,,,
,,Crieur,autre,,,,
,,Crieur,autre,,,,
,,Crieur,autre,,,,
,,Réunio,face_a_face,,,,
,,Crieur,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Rumeurs,radio,,,,
,,Lettre,autre,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Radio,radio,,,,
,,Réunio,face_a_face,,,,
,,Par le chef de groupe,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Sifflet,autre,,,,
,,Par le chef de village,face_a_face,,,,
,,Par de sifflet,autre,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Fadio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio,radio,,,,
,,Entaine modern,face_a_face,,,,
,,Radio,radio,,,,
,,Non,autre,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Sur la radio mais malheureusement nous n'avons pas la radio.,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Leaders communautaires,face_a_face,,,,
,,Radio,radio,,,,
,,Crier a voi simple,autre,,,,
,,Nous devons nous informer à travers la radio mais malheureusement nous n'en  pas,radio,,,,
,,A la radio,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio locale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale piusquy ici nous n avons pas de téléphone comme les autres donc ont préfere la radio nationale mais hélas elle n'est pas écouter sur le territoire nat,radio,,,,
,,Leaders communautaires,face_a_face,,,,
,,Bouche à bouch,face_a_face,,,,
,,Bouche à oreill,face_a_face,,,,
,,Bouche à oreill,face_a_face,,,,
,,Je préfère m'informer par la radi,radio,,,,
,,La radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio locale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,On préfère la radio nationale pour avoir des informations sur les nouvelles du pa,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Chef du village,face_a_face,,,,
,,Gendarmerie,face_a_face,,,,
,,Je vais trouvé tous ceux dont tu as cité o�,autre,,,,
,,Toujours par le canal du chef de village.,face_a_face,,,,
,,Comme nous avons dit c'est dans  la radio,radio,,,,
,,Chef de Quartier,face_a_face,,,,
,,Radio,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Par la radio,radio,,,,
,,Nous voulons bien écouter par la radio,radio,,,,
,,Par la radio.,radio,,,,
,,Par la radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Par la radio mais hélas la radio nationale ne fonctionne pas sur toute étendu du territoi,radio,,,,
,,Radio communautaire,radio,,,,
,,Radio communautaire,radio,,,,
